"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 23 14:09:54 CST 2021","Fri Jul 23 14:09:54 CST 2021","451","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_036-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""81d219894322ee42ba838a821af6fa6c03cee81f79a7cde5eec1ccb3df6b5414"",
    ""legerId"":48,
    ""chainId"":"""",
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""chainId"": [
            ""子链ID不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626773507628,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:10:24 CST 2021","Fri Jul 23 14:10:24 CST 2021","-28","testcase","test_openApi","TestOpenAPI","","","test_data_check_right[SJHY_003-{ ""data"":{""idcardno"":""110105200001024952"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""af232a3176be2c0ba1f2efb226d4bd481dfe2a1b4a37df80a49785eec95ab833"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 0,
    ""msg"": ""数据未上链"",
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626764113794,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:10:26 CST 2021","Fri Jul 23 14:10:26 CST 2021","-22","testcase","test_openApi","TestOpenAPI","","","test_data_check_right[SJHY_005-{ ""data"":{""ybcode"":""zhangsan001"",""sex"":""男"",""name"":""张三""},
    ""nonce"": ""two3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""4fd2fe34a2670aee7167b3e74a365cdb70310f60caf85ebbbb294e838885f4ce"",
    ""legerId"": 49,
    ""chainId"":52,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 61
}-{
    ""code"": 200,
    ""msg"": ""成功"",
    ""data"": {
        ""data"": true
    },
    ""timestamp"": 1626765518092,
    ""success"": true
}]",""
"passed","Fri Jul 23 14:09:44 CST 2021","Fri Jul 23 14:09:44 CST 2021","486","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_014-{ ""data"":{""idcardno"":""110105200101029566"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one387"",
    ""timestamp"": 1941761698000,
    ""sign"": ""eb0c164981ac3a1026e13eb275db0f3976f046604759eaea9110294b8e04dd1b"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""nonce"": [
            ""length must be between 7 and 7""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626768593799,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:43 CST 2021","Fri Jul 23 14:09:44 CST 2021","412","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_013-{ ""data"":{""idcardno"":""110105200101024845"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7b9ff2e32779963985d5e6d057a5e1b0c196f83ab63649e49dff41e87bad2635"",
    ""legerId"":52,
    ""chainId"":56,
    ""appId"": ""nd2GFm"",
    ""clusterId"": 61
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626767953035,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:42 CST 2021","Fri Jul 23 14:10:43 CST 2021","670","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_027-{ ""data"":null,
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d4f5ba89fe04d291d36126054fbf92dd28bfd37254580f4aa9daa69a902624f6"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""data"": [
            ""data不能为空""
        ]
    },
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626772405868,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:32 CST 2021","Fri Jul 23 14:10:32 CST 2021","651","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_012-{ ""data"":{""idcardno"":""110105200101023201"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""two3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""b137353b17236cdcbb1dc642415bba3d6d951a2997067e1fa662c2de1b8321a8"",
    ""legerId"": 52,
    ""chainId"":55,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 61
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626767627790,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:51 CST 2021","Fri Jul 23 14:09:52 CST 2021","431","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_030-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": null,
    ""sign"": ""0cf64e7c6901a3a95886e7ca4a1886d639fe6d75f9634faac15e00da902a3a98"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""timestamp"": [
            ""发送时间戳不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626772816112,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:09:32 CST 2021","Fri Jul 23 14:09:32 CST 2021","-19","testcase","test_openApi","TestOpenAPI","","","test_data_save_right[SJSL_001-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""8fa7b8c4f9dbf2e59dad8507f931fb68c925fd7801b26b7ed2551c467276dc4e"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 200,
    ""msg"": ""成功"",
    ""data"": {
        ""data"": ""a8dd2432b26c3d30a9254b97d60dd8199f15650bb282a108e179865165ea5a5e""
    },
    ""timestamp"": 1626763727326,
    ""success"": true
}]",""
"passed","Fri Jul 23 14:10:40 CST 2021","Fri Jul 23 14:10:41 CST 2021","676","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_024-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d5fc836526c9b2a3e2e7aad5f4eead8e0ca021382200f9329b5e7752df5fb2ec"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0g"",
    ""clusterId"": 60
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626770859932,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:44 CST 2021","Fri Jul 23 14:10:44 CST 2021","695","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_029-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": """",
    ""timestamp"": 1941761698000,
    ""sign"": ""9b02bb0b8abcfe909c973d144f3c1a7dae50646ea35be59dd88f8f23d35b2519"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""nonce"": [
            ""length must be between 7 and 7"",
            ""7位随机数不能为空""
        ]
    },
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626772656878,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:48 CST 2021","Fri Jul 23 14:09:49 CST 2021","419","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_024-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""be683b406cfc417847597511d522f6bd8d8cae1e0b54d25132016df6f56605d3"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 61
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626771117393,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:34 CST 2021","Fri Jul 23 14:10:34 CST 2021","625","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_015-{ ""data"":{""idcardno"":""110105200101029566"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one387"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d2506fdc33dc2a73f8b35d6c0b9ebdf769144bcb697fc71c82db7b920cbc4f1e"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""nonce"": [
            ""length must be between 7 and 7""
        ]
    },
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626768700801,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:43 CST 2021","Fri Jul 23 14:10:43 CST 2021","651","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_028-{
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d4f5ba89fe04d291d36126054fbf92dd28bfd37254580f4aa9daa69a902624f6"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""data"": [
            ""data不能为空""
        ]
    },
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626772494290,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:41 CST 2021","Fri Jul 23 14:09:42 CST 2021","568","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_009-{ ""data"":{""idcardno"":""110105200101023500"",""sex"":""女"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7c3a6b0a001171b38b0be082147c680457d3fb6b39a9c50e019417da819c86e8"",
    ""legerId"": 50,
    ""chainId"":51,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 62
}-{
    ""code"": 500,
    ""msg"": ""合约执行失败"",
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626766384467,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:44 CST 2021","Fri Jul 23 14:09:45 CST 2021","392","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_015-{ ""data"":{""idcardno"":""110105200101029566"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874m"",
    ""timestamp"": 1941761698000,
    ""sign"": ""0dc10719475382eba093ac3a8dfcb95202f3c3691a0753c099491e10ec4f1e86"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""nonce"": [
            ""length must be between 7 and 7""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626768896663,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:13 CST 2021","Fri Jul 23 14:10:13 CST 2021","562","testcase","test_openApi","TestOpenAPI","","","test_data_query_error[SJCX_026-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""73e01cd94017563ea4d334fe665e6910d628d359f65c44286bd97a6e79463595"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"":100000
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/query"",
    ""timestamp"": 1626771210217,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:20 CST 2021","Fri Jul 23 14:10:21 CST 2021","588","testcase","test_openApi","TestOpenAPI","","","test_data_query_error[SJCX_039-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d7a971fd72ad6d5d5950158c362ae97398528808df7e827ea50ea797fbd23e55"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": """",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""appId"": [
            ""应用ID不能为空""
        ]
    },
    ""path"": ""/rest/data/query"",
    ""timestamp"": 1626773674690,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:03 CST 2021","Fri Jul 23 14:10:04 CST 2021","731","testcase","test_openApi","TestOpenAPI","","","test_data_query_error[SJCX_010-{ ""data"":{""idcardno"":""110105200101023500"",""sex"":""女"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7c3a6b0a001171b38b0be082147c680457d3fb6b39a9c50e019417da819c86e8"",
    ""legerId"": 50,
    ""chainId"":51,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 62
}-{
    ""code"": 500,
    ""msg"": ""合约执行失败"",
    ""path"": ""/rest/data/query"",
    ""timestamp"": 1626766374013,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:10:01 CST 2021","Fri Jul 23 14:10:01 CST 2021","-33","testcase","test_openApi","TestOpenAPI","","","test_data_query_right[SJCX_007-{ ""data"":{""idcardno"":""110105200101023500"",""sex"":""女"",""birthday"":""2000-01-02"",""name"":""不理不理""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7acae9464c29f290fd0929dd47c5aaf159280eb36582deedc79d9cebda5cbf78"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 200,
    ""msg"": ""成功"",
    ""data"": {
        ""data"": {
            ""appId"": ""rRHm0G"",
            ""chainId"": 49,
            ""clusterId"": 60,
            ""details"": {
                ""birthday"": ""2000-01-02"",
                ""idcardno"": ""110105200101023500"",
                ""sex"": ""女""
            },
            ""legerId"": 48,
            ""orgId"": 3
        }
    },
    ""timestamp"": 1626765872006,
    ""success"": true
}]",""
"passed","Fri Jul 23 14:10:05 CST 2021","Fri Jul 23 14:10:06 CST 2021","517","testcase","test_openApi","TestOpenAPI","","","test_data_query_error[SJCX_013-{ ""data"":{""idcardno"":""110105200101024845"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7b9ff2e32779963985d5e6d057a5e1b0c196f83ab63649e49dff41e87bad2635"",
    ""legerId"": 52,
    ""chainId"":56,
    ""appId"": ""nd2GFm"",
    ""clusterId"": 61
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/query"",
    ""timestamp"": 1626767967615,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:31 CST 2021","Fri Jul 23 14:10:32 CST 2021","715","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_011-{ ""data"":{""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""47d6c30e183c0311bcb6fd4938f1c51001830e3cafc4ab146e9bb4c1435e6382"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 0,
    ""msg"": ""缺少参数data.idcardno"",
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626766890812,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:49 CST 2021","Fri Jul 23 14:09:50 CST 2021","444","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_026-{ ""data"":null,
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d4f5ba89fe04d291d36126054fbf92dd28bfd37254580f4aa9daa69a902624f6"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""data"": [
            ""data不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626772359456,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:55 CST 2021","Fri Jul 23 14:09:55 CST 2021","459","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_038-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d7a971fd72ad6d5d5950158c362ae97398528808df7e827ea50ea797fbd23e55"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": """",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""appId"": [
            ""应用ID不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626773658251,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:53 CST 2021","Fri Jul 23 14:10:54 CST 2021","710","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_042-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""fe70fd95f82256444d8c2c8ee5d815fe586057285efacb2038ef5f49d22e8a19"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G""
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""clusterId"": [
            ""网络ID不能为空""
        ]
    },
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626773897445,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:29 CST 2021","Fri Jul 23 14:10:30 CST 2021","700","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_009-{ ""data"":{""idcardno"":""110105200101023500"",""sex"":""女"",""birthday"":""2000-01-02"",""name"":""不理不理""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""6f98cbaac1a2653f31c3b64f9afc392eba3e9b04b38d55df37b87408795aff99"",
    ""legerId"": 51,
    ""chainId"":54,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 0,
    ""msg"": ""合约账本必须有唯一Key"",
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626766193636,
    ""success"": false
}]",""
